n#11124961	Fernand_Léger Fernand_léger
n#08955397	Pyongyang
n#13447361	Reação_Química Reações_químicas reação_química reacções_químicas
n#08765460	Stavanger
a#00883188	remitente
n#04937043	liquidez fluidez
n#10148991	Groupies fã
n#01692713	Lacertidae
v#00040353	cuidar-se
n#07911677	cocktail
n#09439120	bolha_de_sabão
n#11317309	Filmes_de_George_Stevens George_Stevens George_stevens
n#13493692	holometabolismo
n#10326883	magnata
n#05479314	nervo_facial
n#02739248	esfera_armilar esfera_armilar
n#11391915	Robert_Woodrow_Wilson Robert_woodrow_wilson
n#06049850	endocrinologia Endocrinologia
v#00162688	substituir
n#03465605	pensão
n#13513540	Menorragia
n#09590205	Barba_Azul BarbaAzul
n#11882074	Cardamine_pratensis
a#01587077	horrível antipático
n#03126707	guindaste guindaste
n#10142747	avô avó vovó vovozinha
a#01103021	específico
n#13672794	Dólar_canadense
n#00631378	prática
n#07207410	renúncia
n#11531457	Talófita
n#03978966	polo
n#05228881	quiasma_óptico
n#02079706	Phoca
a#00843595	elástico
n#01123304	Febre_do_ouro Febres_do_ouro
a#00635456	incorrigível
n#02777734	varanda Varanda
n#13353607	fundos
n#06407221	manuscrito Manuscritos manuscrito
n#13964466	bigamia
n#06210363	ponto_de_vista
v#00935456	sair_do_armário
n#11509697	energia_solar Energia_solar energia_solar
a#02532200	safa frígido
n#06962600	latim Latím latim
n#09748648	prussiano
n#11107757	Franz_Kline
n#14785325	enxofre enxôfre
n#08928193	Quénia Quênia Quenia República_do_Quénia Quénia Quênia
n#05206573	insipidez
v#00449692	evaziar
n#03769881	Micro-ônibus Micro-onibus Microônibus Microonibus
n#13356569	meios_financeiros
n#14551565	Perda_de_audição_neurossensorial
n#11068401	Saddam_Hussein Saddam_hussein
a#01742912	tempestuoso
a#01442826	curta curto breve
n#06278830	comunicação_de_dados
n#10399491	pai mãe progenitor
a#01279611	sério
n#14862064	Cianeto_de_potássio Cianeto_de_potassio
n#10569744	secretário Secretária_executiva
n#14513259	esfera domínio âmbito
v#01823370	regojizar
n#14905911	hemiacetal
v#00009147	mudar depenar desplumar trocar
n#08877613	Birmingham
n#14054465	Colestase colestase
n#08887463	Ilhas_Scilly Ilhas_scilly
n#09532837	arhat
n#00498086	Strip_poker strip_poker
n#15196870	Purim
n#02872752	calçado bota bota
n#13350976	Fiança_judicial fiança
v#02567519	atacar estuprar violentar atentar
n#08625846	traseiro rabo
n#11884198	Crambe
a#02158826	invisual
v#02554922	promover
n#03123553	cobertor
n#01895355	fúrcula
n#11044517	Johann_Friedrich_Herbart
a#02343110	excelente exímio
v#01010118	declarar
a#00218440	atraente lindo
n#00296263	Circumnavegação circum-navegação
a#03139235	acentuado
n#11156333	Herbert_Marcuse Herbert_marcuse
a#00944111	inefável indescritível
n#09323660	Káon Kaon káon
n#13998263	Servidão servidão servidão
a#03093862	optativo
n#10026058	doador
n#11090884	Mother_Jones Mother_jones Jones
n#05690269	obstáculo
v#00437125	diversificar
n#04414909	Téssera Tessera téssera azulejo
n#07252764	provocação
a#00449079	contíguo imediato
n#12738859	Viscaceae
v#00689344	pensar achar
a#02891236	mecânico
n#06069996	Criobiologia criobiologia
n#06118236	Estratigrafia estratigrafia estratigrafia
n#06105609	teoria_celular
n#05807540	compreensão reconhecimento
n#08736107	Costa_Rica
n#09057311	Arizona Arizona
n#13790912	base
n#08483935	Hebreus hebreus
a#01277097	central fundamental básico
n#15066367	talco
v#02352263	amortizar
n#08387806	Classe_dominante
n#06379568	lamento elegia
n#09378349	Garganta_de_olduvai garganta_de_Olduvai
n#13445624	Reacção_em_cadeia reação_em_cadeia reacção_em_cadeia
a#00589344	satisfeito saciado
n#08146593	Unidade_de_Terapia_Intensiva Unidade_de_terapia_intensiva unidade_de_tratamento_intensivo_(UTI)
v#00437732	especializar
n#14857021	águas_residuais águas_usadas efluentes
v#01288554	desencadear
n#07385660	rusga
n#07511733	esperança
n#15003797	Fluido_refrigerante Refrigerantes_industriais
n#05454070	eritrócito glóbulo_vermelho hemácia hemácia
n#10853932	Gebhard_Leberecht_von_Blücher
n#07769731	Rambutão rambotã
n#03638180	aterrissador
a#02838894	pneumático
n#00831191	respiração
n#13410458	Balanço_de_Pagamentos balanço_de_pagamentos
n#12297678	Halenia
n#13711416	Milímetro_de_mercúrio torr
v#01185740	desjejuar
a#01115635	autêntico genuíno
n#02884225	camarote
n#00942440	Petroglifo petróglifo petróglifo
n#00271263	degradação
n#02704153	anfetamina Anfetaminas anfetamina
n#02395694	porquinho
n#06638868	base_de_dados_lexical
a#00746994	cócegozo sensitivo
n#12741079	Dodonaea
v#02141146	mostrar
n#02794474	Caleche carruagem
r#00182316	de_forma_excelente excelentemente
r#00161018	predominantemente de_forma_predominante
n#08842819	Arquipélago_de_Bismarck
n#01212519	apoio suporte
n#11250991	Willard_Van_Orman_Quine Willard_van_Orman_Quine Willard_van_orman_quine
n#05459457	Célula_de_Leydig Célula_de_leydig
a#02847207	dórica
a#01348528	inerente
n#05504807	nervo_radial
n#08511970	traseiro
n#14084291	Síndrome_de_Asperger Síndrome_de_asperger Sindrome_de_Asperger síndrome_de_Asperger
n#04007894	produção produto bens
n#03727837	tapete carpete
n#00812154	Tropa_de_Choque Tropa_de_choque
n#14238528	Fibroma fibroma
v#00793785	atrativo
n#14882117	cristal_de_chumbo
n#10936424	Dionísio_I_de_Siracusa
n#02434834	Muntiacus
n#08248856	sinfonia
n#12770736	ébano
n#03581125	cruzamento encruzilhada
n#05460291	músculo_liso
n#06486042	programa
n#10977159	Jean_Honoré_Fragonard Jean_Honore_Fragonard
n#11229801	Péricles Péricles
v#01286038	atar
n#05122850	minoria minoria minorias menoridade
n#02312427	pupa pupa crisálida
a#01762839	permissivo
n#15158816	5_de_Novembro 5_de_novembro
v#00088713	infectar contaminar infetar
n#09358751	brejos páramo
n#11084514	Jezabel Jezabel Jezebel
a#01315670	adquirido
v#02295550	compartilhar
n#11397657	William_Wordsworth William_wordsworth
n#06166898	metodologia metodologias
n#14395240	vesânia
n#06935594	Língua_laociana laociano
n#14144064	tuberculose
n#03852908	oráculo
n#09186064	Rio_Aar Rio_aar
n#07533097	melancolia
n#03198637	Diltiazem
n#01438461	Cobitidae
v#02455159	estar_de_sentinela
a#00837249	fatigante esgotador
n#04076533	reprodução replicação réplica cópia_exata
n#14672893	cristobalita
n#15091304	Vitamina_B12 Vitamina_b12 cianocobalamina cobalamina
n#09481523	Rio_Yangtzé Yang-Tsé Chang_Jiang Rio_Azul Iansequião
a#00015854	abundante abudante
v#00336922	fazer_uma_fissura fissurar
n#06822707	acento_grave acento_grave
n#05615749	caráter_confidencial
n#08724545	Turquestão
n#15032829	capsaicina
n#04974575	Pastel
n#08681222	curso
n#06236492	Ismaelismo ismaelismo
n#02991555	cela
v#01636008	visualizar
n#05008746	androginia
n#02381831	Cavalo_de_Przewalski Cavalo_de_przewalski cavalo-de-przewalski
n#14207978	Mielofibrose_idiopática
n#08748076	Grandes_Antilhas Grandes_antilhas GrandesAntilhas
n#03424630	motores_a_gasolina
n#11758628	Adenanthera
n#04084517	tecla_enter
n#09463078	Cataratas_do_Tugela Cataratas_do_tugela
a#00165171	ausente abstraído
n#08962187	Madagáscar República_de_Madagáscar Madagáscar Madagascar Madagascar
a#01926089	racional inteligente
n#03207941	lavalouça máquina_de_lavar_louça máquina_de_lavar_louça
v#00341285	acontecer
n#12552658	Ononis
n#10993098	Louis_Joseph_Gay-Lussac Louis_joseph_gay-lussac Louis-Joseph_Gay-Lussac Louis-joseph_gay-lussac
n#15097209	detergentes constructora empreiteira
a#02343517	superior o_maior
n#05044822	sucessão seqüência sequência
n#10427764	fisioterapêuta
n#13528100	osmose osmose
n#14752702	cortisol hidrocortisona cortisol
n#13460034	desfoliação
n#05584486	unha
a#01050088	desastroso
n#15049594	derramamento
n#10344443	pessoa
n#07270179	selo marca marcadores
n#01499396	Raia_pintada raia-pintada
n#01310347	Guerra_de_Sucessão_Austríaca Guerra_de_sucessão_austríaca
n#09852558	bibliógrafo
n#03031152	piteira
n#03271030	cadeira_elétrica
v#01352528	desaparafusar
v#02316304	abandonar
n#14179839	Pneumonia_viral
n#14808273	serotonina serotonina
n#02796412	Barricada barricada
n#06685456	garantia Garantia
n#05536370	Ceco ceco
v#01171183	beber tomar
n#12853287	Oregano orégano orégão
a#01385663	cósmica cósmico
n#10073634	exportador
n#09866115	contador
n#14734625	haptoglobina haptoglobina
n#10551265	Isolda
n#11314969	Saul_Steinberg Saul_steinberg
n#09959658	construtivista
n#01795545	galolira
n#10751265	vice-presidente Vice_Presidente Vice-Presidente Vice-presidentes vice-presidente
a#01462882	favorito predileto favorita preferido predilecto
n#05018934	audibilidade
n#08777348	Galápagos
v#01778990	idolatrar
n#08798062	Haifa
v#02439732	guiar conduzir gerir encaminhar
n#13284973	Jabaculê Jabacule
n#07487594	saudade saudades_de_casa anelo
a#01664015	alegre
n#01235463	vingança
n#11703935	Laurus
a#00224731	maldoso malicioso perverso
n#10877584	Giovanni_Caboto Giovanni_caboto
v#00417856	engomar
n#12165758	Ecballium
a#00524607	nenhuma nenhum nenhuma_pessoa
n#07849336	iogurte iogurte
n#07052925	madrigal
n#08677525	Casa_de_eventos jurisdição
n#01950952	Aplysiidae
n#03220237	dólmen Dolmen dólmen cromeleque
n#08307589	reunião Reunião grande_reunião_popular
n#00646833	análises_químicas
n#08238313	colégio_eleitoral
n#09735654	chuvache tchuvache
n#09177385	Monte_Santa_Helena Monte_santa_helena
n#00941974	movimentação_de_terras terraplenagem
n#04586225	Espanta-espíritos
v#00768778	adular
n#11040985	Henrique_II_de_Inglaterra Henrique_ii_de_inglaterra
n#15168475	hora_de_dormir hora_de_ir_para_a_cama
n#02143759	Hipposideros
r#00268797	audivelmente
n#14166775	clorose
a#01103529	Ad-hoc ad_hoc
n#15263795	futuro amanhã
a#00461311	nublado
a#01349927	alheio
v#00618878	reconhecer identificar
n#06141768	psicodinâmica
n#10251779	estudante aluno acadêmico
n#03556281	ibuprofeno
v#02696503	erguer-se atirar-se
n#02378625	corcel carregador_de_bateria
n#03068998	Gola
n#01878203	Lagorchestes
n#00486130	eixo-badeixo
n#10221777	joalheiro
n#07451463	Funeral enterro funeral
n#14635722	Cobre cobre
a#01782100	hipócrita
n#00346296	reorientação
r#00246296	singelamente
n#06947658	Inglês_vernáculo_afro-americano
a#00452605	confidencial
n#08798195	Jaffa
a#01756292	efémero transitório efêmero
n#00044455	emergência
n#09648911	Astecas astecas asteca
n#14700745	produtos_de_origem_animal
n#07538965	discontentamento
n#09438554	Rio_Snake
n#04718999	acessibilidade disponibilidade
n#01234612	Absenteísmo_escolar absentismo
a#02957823	gaélico gaélica celta céltica céltico
n#10123415	genovez genoveză
n#14920252	Repelente_de_insetos
n#14811706	ácido_crômico
n#11497173	pressão_de_radiação
a#00528761	súper
n#08355075	Agências_de_notícias agência_de_notícias
n#15195622	Quarta-Feira_de_Cinzas
n#14101083	embolia embolismo embolia
n#03841666	escritórios
v#00258857	danificar avariar deteriorar
n#15237782	Inverno inverno inverno
n#15267536	conclusão fim
v#02654686	infestar
a#01337939	deliberado
a#00941242	gráfico
n#02791270	barbearia
n#04892794	prudência
n#05448053	ameloblasto
n#04001661	PWR
n#00620554	fotografia
n#14181187	leishmaniose_cutânea
n#04734885	inconstância mutabilidade
n#01243089	Ramadão
n#08001209	subconjunto subconjunto
n#03707597	gravador
n#09923418	nenhumapessoa
n#03519981	vias_rápidas estrada rodovia estradas rodovia autoestradas estradaderodagem estrada_de_via_dupla
n#15060449	estibina
n#08279298	instituto
n#00667847	castração
n#04995009	amargor
a#00138314	pertinente apto procedente apropriado
n#03375329	farol_antinevoeiro
n#09337048	vazamento
n#02053720	Cormorão Corvo-marinho Phalacrocoracidae
n#02693540	Mísseis_ar-terra míssil_ar-superfície
a#02955806	mórmon
a#01450713	encontrado
n#06646243	signo
n#07422036	Blecautes blecaute
n#08904954	Andhra_Pradesh Andhra_pradesh Andhra_Pradesh
n#00782072	traição
n#03027935	Eurotúnel Eurotúnel
n#06670240	equação_quadrática
n#13696523	rand
r#00038625	naturalmente compreensivelmente decerto de_acordo
a#00447472	adjacente contíguo apenso
n#09519075	Lilith
a#00141818	arbóreo
n#11163041	James_Mason James_mason
n#06614901	Outtake
n#07232988	denúncia
n#07433510	Desmembramento Pessoas_executadas_por_desmembramento desmembramento
n#02784218	faixa
a#00331446	periférico
r#00177818	diariamente
n#13841213	reciprocidade
v#01999218	preceder
n#01582856	Gymnorhina_tibicen
n#06943378	língua_frígia
a#01212346	a_grande_altura disparado
n#06831605	é
n#13253255	aquisição
n#12515711	grão-de-bico
n#12479821	Nolina
n#07048928	hino
a#02756129	viva
n#10008716	destruidor
v#00721302	descobrir
n#07902121	etanol
a#02573859	arborizado
a#00886681	evangélico
n#04549721	Motor_wankel motor_Wankel
n#10288763	varão homem macho
n#10394786	paleontólogo paleontologista
n#06492664	inventários inventário arrolamente
n#14419737	concatenação
n#12690046	coca
n#14381249	Transtorno_do_panico transtorno_do_pânico
n#09228324	afluente
a#02662020	benzóico
n#04049585	pluviômetro Pluviómetro Pluviômetro
n#11648428	Cephalotaxaceae
n#13612791	esferorradiano
a#02024143	rico
v#00148763	suspender
n#01953361	Cypraea
n#13243780	proprietário
n#11201740	Martina_Navrátilová Martina_Navratilova Martina_navrátilová Martina_navratilova
n#13098962	floema
n#10483890	profeta profeta
n#02549989	Gar Lepisosteiformes
n#11973888	Gutierrezia
a#00566961	contíguo
n#05697363	certeza altivez aprumo desembaraço pose fé
n#03251533	Dique_seco
n#02640453	Acipenser
n#14681249	Marga
n#00865284	Reflexo_de_Moro
n#11012676	Cinza cinza
n#08765890	Suécia Suécia Suecia
a#02003357	aberto
n#10834690	Alben_William_Barkley
n#10493685	Titeriteiro
n#09312231	Rio_indo rio_Indo
a#02684005	categórico
n#12465321	Xerophyllum
n#10976862	George_Fox George_fox
a#01898129	prudente sensato judicioso
n#11994827	Matricária Matricaria
n#15026963	hemossiderina hemossiderina
n#12307611	Ligustrum
n#14392318	megalomania
n#14324795	Parestesia parestesia
r#00437796	questionavelmente duvidosamente
n#01485479	tubarão-elefante tubarão-elefante tubarão-frade tubarão-peregrino
n#10759151	voluntário
n#07190693	apelo
v#00241038	diminuir reduzir ficar_menor
n#00512522	flerte
n#04175039	aplicação_servidora
n#09596733	Jocasta
n#07192240	requisição
n#09505418	deidade deusa Deidades deidade deus divindade Deus divinidade
n#07852302	roquefort Roquefort
v#00909573	ralhar
n#03759661	Micrómetro Micrômetro micrômetro
r#00490678	em_cima
n#13968092	empregue tomaraserviço servir-sede
n#14945517	Nitreto_de_magnésio
n#09471638	Cataratas_Vitória Cataratas_vitória
v#02762468	arder
n#04561422	moinhos_de_água
n#02431122	veados cervo veado
n#13886575	Hiperbole hipérbole hipérbole
n#04729710	expansividade
n#14518671	Poluição_Térmica Poluição_térmica poluição_térmica
a#02517999	infravermelho
n#03106722	veludo_cotelê
n#10899747	Carl_von_Clausewitz Carl_von_clausewitz
n#04236935	guizo
n#03682487	fechadura fehadura
n#00385791	divisão
n#14677144	Glauconita
n#08019523	Frente_Democrática_para_a_Libertação_da_Palestina Frente_democrática_para_a_libertação_da_palestina
a#01398528	estanque
n#07781319	cavala carapau
n#05594201	fíbula
n#11888800	Hesperis
n#15085472	Uréia ureia
v#00925735	estranhar
n#06362441	Hieróglifos
n#00661091	terapia Terapias terapia
a#02707659	culinário culinária
n#00427580	sacanagem gozação
n#02226970	locustídeo
n#00276189	ambientalismo ecologismo
a#01029151	inflexível
n#11128834	Wassily_Leontief Wassily_leontief
n#05593318	rádio
n#08322981	comitê comité
n#07924655	mosto
n#04171831	Semicondutores semicondutor
n#04208427	pá
n#04171208	semáforo
n#04963111	sanguínea
n#10182402	homeopata
n#14614594	Ácido_Hipofosforoso Ácido_hipofosforoso ácido_hipofosforoso
n#06835740	Π pi
n#01128137	execução_da_lei
n#14760447	caimão aligátor jacaré
n#06533648	constituição Constituição
v#02490430	juntar
n#14848642	Enxaguante_bucal
n#10916105	Oliver_Cromwell Oliver_cromwell
n#06172502	Cripto_análise Cripto-análise Criptoanalise criptoanálise
n#06844040	ponto_de_interrogação ponto_de_interrogação
v#01058574	mencionar indicar fazer_comentários
a#02960975	suíço suíça
n#14349043	laringite laringite
a#00576189	progresista progressista
n#02701125	deambulatório ambulatório charola deambulatório
n#01974773	crustáceos crustáceo
n#09503486	Wyvern serpe wyvern
n#06000644	matemática Matematica matemática ciência_exacta ciências_exactas
a#00056002	adornado
n#05572227	Músculo_esfíncter_externo_da_uretra
n#06048373	exodontia
n#14759722	pele Couros couro couro
v#00795264	programar
a#01159217	espiritoso
a#01085167	cheio_demais
n#07083732	Prosódia prosódia
n#08927068	Iwo_Jima Iwo_jima Iwojima
a#02663676	bicipital
v#01236164	colidir bater
n#06330037	Aorista
n#03450230	vestido
n#00581090	Ferro_De_Passar ferro_de_passar
a#01689775	escravista
n#06953471	Edda Eddas
n#05041871	debilidade
n#09455524	Constelação_de_Telescopium Telescopium
n#09838895	Cabeleireiro Cabeleireiros barbeiro cabeleireiro
n#00339776	transposição
a#02673022	cadastral
n#07809368	aromatizantes condimento
n#06938887	malaio
n#07920663	Café_Solúvel café_solúvel
n#00582195	serviços_sociais socorro_social
n#01027859	rito ritual
a#00721636	incontestável
a#00461609	nevoeirento
n#01144046	preparação
r#00170188	teoricamente
n#09277432	exosfera Exosfera
n#12166424	Luffa
n#09037394	Tunísia Tunisia Tunísia
n#11264508	Oral_Roberts
n#04425977	terceira
n#05098620	níveis_de_ruído
a#01338116	premeditado intencional
a#02895418	maçônico maçónico
v#02209745	tomar_uma_assinatura
n#05418585	Vasa_vasorum
n#03821660	Newgate
n#11321296	Johann_Strauss
n#08771400	Weimar
n#04404412	televisão tevê televisor
n#11190774	Henry_Morgan Henry_morgan
n#14200873	Pelagra pelagra
a#02140834	acromegálico
n#14792550	Carbetos carbeto
n#11132948	Charles_Lindbergh Charles_lindbergh
n#12403862	Broussonetia
n#06144855	Egiptologia
n#00918176	cultivo agricultura
v#02749247	adornar ornamentar decorar fazer_decoração
n#03844045	lâmpada_a_óleo
n#14506020	ginecomastia ginecomastia
n#13983147	iluminação
n#11244419	Francis_Poulenc Francis_poulenc
n#11727091	aquilégia
v#02692686	preceder anteceder
n#00502415	jogo_de_tabuleiro
n#02944826	acampamento
a#01752953	defeituoso
n#01157850	conscrição
a#02269635	todo
n#02110063	Malamute_do_Alasca Malamute_do_alasca malamute-do-alasca
n#00049789	acesso
n#09490210	Calipso Calipso
n#02965300	navio_cargueiro cargueiro
n#10062176	epiléptico
n#10368528	huri
n#08333224	Inquisição_Espanhola inquisição_espanhola
n#05838176	decisão determinação resolução resoluções_(legislação) resoluções
n#12856287	Hortelã-verde
a#02178628	labiríntico
n#09016099	Donetsk
a#02651244	autobiográfico
n#13023292	Ascomycota
n#13136556	fruta Noz noz
v#00996102	rever
n#05864177	variável_aleatória Variável_Aleatória variável_aleatória variante
n#11445395	sedimentação aluvião sedimentação_(geologia) sedimentação_(processo_industrial)
n#11021342	Adriano
n#10406266	patriarca
n#12865824	Salvia_officinalis sálvia
n#00280586	movimento movimento
a#00678024	anual
n#05740162	reacção_de_Widal
n#10354754	neurocirurgião
n#08731423	Macau Macau
n#02566325	Morone
a#01451402	destruído
n#05755714	assimilação
n#08894456	País_De_Gales País_de_Gales País_de_gales Pais_de_Gales Gales
n#01233156	visita
a#02893827	cinético
n#05677952	consciência conhecimento tomar_consciência
n#01475025	Heterostraci
a#00880586	aumentado
n#13992738	autodeterminação autogoverno autodeterminação
n#14341923	Diverticulite diverticulite
a#00905728	não_ético
a#00779240	Sagital sagital
n#00212678	canção_do_cisne
n#14333334	tremida
n#06978904	Língua_ubykh
n#06857487	gama
n#15118453	férias
n#14059252	Disúria disúria
n#11657314	Nageia
n#06077413	Histologia histologia histologia
n#06321702	adjetivo adjectivo
a#02736983	gráfico
n#13924336	Nicho_Ecológico Nicho_ecologico nicho_ecológico nicho_ecológico
a#01855348	tributário
n#10072054	exorcista
a#02059626	desesperador desesperado(a)
n#00492497	Dominó_de_baralho
n#14576468	hipotonia hipotonia
n#01442855	Phoxinus
a#02987910	cromatográfico
v#02387910	educar
a#02093493	inseguro
n#12825301	Cuscuta
n#14490319	obrigação responsabilidade dívida endividamento
n#09396150	Rio_Pó Rio_Po Rio_pó Rio_po
v#00421691	desaparecer esvanecer
n#02522722	Bacalhau bacalhau
n#13452750	convecção
n#09122968	Greenwich_Village Greenwich_village
a#01580775	requerido
n#03044278	clipart
n#02081060	Foca_de_crista
r#00232425	cruelmente
n#07049291	The_Star-Spangled_Banner The_star-spangled_banner
n#00950217	engenharia_química
n#03435382	Gentamicina gentamicina
n#05728024	Sistema_de_coordenadas Sistemas_de_coordenadas sistemas_de_coordenadas
n#07895962	Sauvignon_Blanc Sauvignon_blanc
n#12778605	Planta_Carnívora Plantas_carnívoras planta_carnívora
n#07547293	misoneísmo
n#06643303	actualização atualização
a#02574481	selvático
n#05936704	imagem
n#10286084	irmão
n#08571898	Mercado_das_Pulgas Mercado_das_pulgas mercado
n#06319157	advérbio Adverbio advérbio
n#13125117	raiz raíz raiz raizes
n#08242100	caixilho
n#11051376	Hiparco
n#06864725	Metrologia medição
n#04854389	injustiça
n#10944593	Paul_Dukas Paul_dukas
v#02419773	trabalhar
n#05256085	cabelo pêlo
v#01742886	imitar copiar simular
n#08972920	Auckland Auclanda
n#11697388	Bérberis Berberis
n#14483744	confiança
n#08557131	ducado
a#02281938	deprimido
n#11307082	Charles_Percy_Snow Charles_percy_snow
n#08245802	Cosa_Nostra Cosa_nostra máfia
n#15297672	tempo_de_processamento
n#03352628	rede_de_pesca
a#02947252	dualístico
n#07887634	lager
n#09894445	cardiólogo cardióloga cardiologista
a#00260780	burguês
n#08551296	Eparquia
a#02424949	desordenado
n#14078871	miastenia_grave
n#00950705	tecnologia_informática
n#02418465	Oreamnos_americanus
n#10594284	shudra
n#12151365	Cyperus_papyrus
n#07907943	Licores licor licor
n#15186871	Groundhog_Day
r#00184284	reconhecidamente
n#03024064	Coro coro
n#09098488	Martha's_Vineyard
n#04147364	Museus_de_ciência
v#02630189	apresenta dispõe
n#08301525	Organização_Internacional_do_Trabalho Organização_internacional_do_trabalho
a#01148764	bendito
v#02383440	abandonar partir
n#08780282	Espoo
n#06008007	triângulo_esférico
n#11183211	Jessica_Mitford
n#12431128	Allium
n#00522537	exposição
n#04667180	machismo
n#11680032	Estomato estômato poro
n#14196405	leucopenia leucopenia
n#03876519	pintura
r#00033308	agora_mesmo neste_instante
a#02858231	filosófico
n#11880032	azeite_de_colza
n#12626353	pilriteiro
a#00115193	irado zangado
v#01656788	compor reunir montar
n#05724357	Urticante
a#00500310	verbal
n#10794014	autor escritor autor escritora
n#09403734	cordilheira Cordilheira cordilheira serra cadeiademontanhasl cordilheiras serrania
v#00427397	desaparecer
n#06721604	invectiva vitupério
n#08353912	Agência_de_Publicidade Agência_de_publicidade Agências_de_publicidade
n#08541454	Terra_de_Coats
n#14982907	ácido_fosfórico
n#09100223	Ann_Arbor Ann_arbor
n#03301833	Climatizador_evaporativo
n#06017472	grupo_abeliano
n#05218630	Múmias múmia múmia
n#05891572	esquema projeto plano
n#10406905	patriarca
n#10240821	Xatria xátria
n#05379247	Veia_renal
n#00330984	deslocamento
n#09566667	Euterpe
n#11699915	Podophyllum
n#00849294	sexo_anal sodomia
n#10891029	Ernst_Chain
n#08518940	Bacia_Hidrográfica bacia_hidrográfica albufeira albufeiras
n#03986949	maleta
a#01528644	brônzeo
n#03130066	crematório Forno_crematório
n#06995664	Língua_tsuana seTswana
v#02273293	confiscar apreender
n#06223922	Deísmo Deismo deísmo deísmo
n#09651790	cherokees
n#09599023	Fausto
n#05993235	Materialismo_dialético
n#04030846	quadrante quadrante
n#11457057	Linha_de_campo
n#00580961	agregado_familiar
n#09429194	90377_Sedna
n#01881991	Petaurus
v#01827232	serávidopor cobiçar
a#02344793	transcedente
n#00799537	Campanha_eleitoral candidatura
n#09967406	cosmopolita
v#00411020	modernizar
n#02452637	focinho
n#06998108	Línguas_nilóticas
n#15128200	Siluriano
n#04249415	Caixa caixa
n#03862531	Salão_Oval
n#07307477	evento
n#12573760	Tipuana
v#01893465	atirar
n#12171966	quiabeiro quiabo
n#10973339	Matthew_Flinders
n#10930591	Jack_Dempsey
n#15162210	Festividades_religiosas
n#11686049	haustório
n#01606809	Falcão-do-tanoeiro
v#02165304	olhar ver
n#06334985	epônimo
n#11248599	Henry_Purcell Henry_purcell
r#00136469	sexualmente
n#05577410	Dedo_do_pé dedo
n#00326440	descensão
v#00969873	circular espalhar
a#01567862	nacional
n#12435152	cebolinho cebola-de-todo-o-ano
v#02131963	assistir_a
v#01752884	fazer causar provocar produzir
v#02348568	enviar
n#13612042	radiano radiano
n#12868634	Stachys
n#03778600	módulo
n#11741010	Myrica
n#10871655	Filmes_de_Luis_Buñuel Luís_Buñuel Luís_buñuel Luis_Buñuel Luis_buñuel
n#03539433	ferradura ferradura
n#11098223	Edmund_Kean Edmund_kean
v#02108026	experimentar
n#10130877	amiga
r#00104528	no_máximo
n#04219424	seda
n#11265416	Edward_G._Robinson Edward_g._robinson
n#15224692	condenação
n#10905315	Cristóvão_Colombo Cristóvão_colombo Cristovão_Colombo Cristovão_colombo
n#01597194	Thraupini
a#02522669	automático
a#00163948	absorvido absorto
n#14812872	ácido_cítrico ácido_cítrico
n#09320611	Istmo_de_Tehuantepec Istmo_de_tehuantepec
n#07995453	Colégio_do_Brasil
n#07691650	croissant croissant
n#15189684	3_de_Junho 3_de_junho
n#00209132	suspensão
n#15108324	sulfato_de_zinco
n#01339623	Epstein_Barr Epstein-Barr Epstein-barr
n#09849598	amor amante
n#07925808	Kumis kumis
n#03826186	Barracão_Nissen
v#02763609	titilar cintilar
a#00137641	indevido
n#06419234	dicionário_bilíngüe
n#06333653	antenome primeiro_nome prenome nome_de_batismo nome_próprio nome
v#00790308	discar
n#06601327	significado intenção significação
v#00925490	admirar-se
a#02931826	noturno nocturno
n#14353314	polineurite
n#11018153	Che_Guevara Che_guevara
n#00175174	Leveraged_Buyout Leveraged_buyout
n#03052628	Câmara_de_Wilson Câmara_de_wilson
n#03830582	Nortriptilina
a#00642725	grosseiro
n#05854150	Abstracto Abstrato abstracção
n#01016628	aerofilatelia
n#10931059	Gérard_Depardieu Gérard_depardieu Gerard_Depardieu
n#15081052	tripsina
n#15235126	segundo
n#00073828	erro
a#01894416	não_comprovado não_provado
n#11218153	Lee_Oswald
n#05975659	realismo
n#10497775	Questor
n#08970064	Fez Fez
n#11825211	crista
n#08366440	Nazismo nazismo nazismo
n#08960843	Vaduz Vaduz
n#02114712	aguara_guazu lobo-guará
n#04567222	mapa_meteorológico
n#00855301	felação boquete chupada
n#11217182	Daniel_Ortega Daniel_ortega
n#04850341	justiça
v#00242747	consolidar
n#08412136	jardim_de_infância Jardim_de_infancia jardim_de_infância
n#07561590	dieta
n#09669125	Sioux
n#08748280	Pequenas_Antilhas Pequenas_antilhas PequenasAntilhas
n#11713960	Myristicaceae
a#00465221	confuso perplexo
n#09885145	comprador freguês
n#12234913	Epigaea
n#05732273	estrutura_hierárquica_de_dados
n#11178161	Michelângelo_Buonarroti Michelângelo_buonarroti Michelângelo Michelangelo_Buonarroti Michelangelo_buonarroti Michelangelo Miguelângelo
n#12175797	Gossypium algodoeiro
n#07193596	pergunta questão inquérito interrogação perguntar indagação
v#01051364	recitar declamar citar_novamente
n#03705134	Linha_maginot linha_Maginot
n#00876737	atividade_sensorial
v#00089750	infectar contagiar encomendar
v#00197590	estripar extrair_as_entranhas
n#04388162	tampão
n#07006119	teatro Dramaturgia dramaturgia dramaturgia
